fromAccountNumber,toAccountNumber,transferAmount
1000129,2000001,9630
1000104,1000166,3859
1000047,1000125,3657
1000062,2000004,2975
1000096,1000120,9025
1000088,2000006,9808
1000007,1000230,488
1000184,1000180,9303
1000117,1000071,4022
1000153,1000124,6679
1000209,1000045,5110
1000243,2000012,3232
1000051,1000246,2519
1000188,1000099,9515
1000123,2000015,4975
1000031,1000180,5965
1000028,2000017,3937
1000117,2000018,1863
1000138,2000019,4094
1000192,1000231,1316
1000054,2000021,5325
1000033,1000052,3483
1000079,2000023,6329
1000170,1000089,6891
1000208,2000025,8956
1000121,1000211,6103
1000129,2000027,8524
1000241,1000165,8125
1000072,1000001,1275
1000064,1000081,5916
1000249,2000031,3309
1000229,1000122,8111
1000066,1000153,8955
1000157,2000034,858
1000088,2000035,9974
1000141,1000135,1681
1000120,2000037,5703
1000230,1000059,8794
1000132,1000008,4805
1000191,1000043,1668
1000105,2000041,6305
1000087,1000063,127
1000042,2000043,2191
1000090,2000044,5646
1000038,1000033,6461
1000178,2000046,5603
1000211,2000047,5413
1000149,2000048,4783
1000109,1000113,4479
1000177,1000016,9714
1000158,1000204,3048
1000015,1000080,8623
1000056,2000053,7015
1000040,2000054,6675
1000220,1000121,6751
1000160,1000152,3226
1000192,2000057,1548
1000228,1000138,6866
1000037,1000082,1520
1000035,1000244,4658
1000195,1000145,9053
1000200,2000062,9415
1000217,2000063,7746
1000059,2000064,9053
1000220,1000236,7356
1000218,2000066,3349
1000080,1000028,5968
1000172,1000177,4228
1000104,2000069,1396
1000082,2000070,6604
1000227,1000116,3346
1000167,1000076,3338
1000240,1000091,6757
1000154,1000043,2514
1000001,2000075,8938
1000161,2000076,7907
1000183,2000077,6844
1000019,2000078,7527
1000030,2000079,1300
1000086,1000111,4580
1000060,1000141,7796
1000060,1000178,8759
1000020,1000246,8645
1000180,2000084,4988
1000162,1000236,3335
1000111,1000155,4813
1000154,1000057,6954
1000242,1000230,6915
1000240,2000089,2874
1000175,2000090,9778
1000051,1000049,4906
1000201,2000092,2426
1000014,2000093,4090
1000157,1000007,9813
1000227,2000095,7709
1000084,1000083,127
1000219,1000226,5507
1000045,1000128,275
1000010,1000015,6189
1000163,2000100,5635
1000055,2000101,5917
1000165,1000141,8268
1000090,1000150,8085
1000239,2000104,3174
1000105,2000105,3814
1000140,1000191,6302
1000067,2000107,6974
1000112,2000108,5026
1000038,2000109,5658
1000047,2000110,1334
1000175,2000111,8561
1000063,2000112,9003
1000008,2000113,5095
1000199,1000083,3839
1000224,1000077,1996
1000091,1000037,3387
1000240,1000098,7925
1000153,2000118,9773
1000045,1000145,7169
1000038,2000120,6839
1000026,2000121,8137
1000188,1000193,9355
1000028,2000123,6434
1000119,1000145,3811
1000136,2000125,3385
1000074,2000126,9226
1000002,2000127,8851
1000075,1000018,6941
1000131,1000053,6848
1000249,2000130,2118
1000213,2000131,2628
1000059,2000132,8143
1000026,1000034,5021
1000191,1000117,9400
1000066,1000054,3028
1000220,2000136,4303
1000173,2000137,2545
1000068,1000120,3473
1000165,1000042,5879
1000118,2000140,6326
1000133,1000028,8437
1000247,1000153,2407
1000166,2000143,5745
1000060,1000065,1204
1000223,1000184,1984
1000022,1000021,5501
1000050,1000203,4588
1000106,2000148,5551
1000148,2000149,1014
1000043,2000150,6590
1000014,1000169,634
1000132,2000152,5018
1000004,2000153,3728
1000082,1000229,1598
1000035,2000155,2811
1000099,2000156,9972
1000209,2000157,4312
1000127,2000158,1100
1000119,1000158,8225
1000208,1000109,3522
1000117,1000192,1976
1000014,2000162,4079
1000154,2000163,7223
1000191,2000164,2690
1000107,2000165,1181
1000071,2000166,3218
1000047,2000167,2018
1000235,1000144,7418
1000170,1000018,7504
1000056,2000170,9221
1000236,2000171,1764
1000182,2000172,2515
1000169,1000015,3244
1000019,1000017,4971
1000197,2000175,1717
1000069,1000028,7914
1000243,1000182,627
1000241,2000178,6676
1000056,2000179,7236
1000151,1000082,4873
1000068,1000238,2629
1000086,2000182,2614
1000143,1000242,3376
1000042,1000079,7641
1000007,1000077,1197
1000130,1000166,9332
1000211,1000199,1564
1000220,2000188,318
1000217,2000189,4153
1000091,1000227,2666
1000180,1000177,5967
1000108,2000192,6756
1000197,1000176,750
1000246,1000232,7711
1000222,2000195,7677
1000156,1000051,8369
1000068,1000112,7610
1000136,2000198,4881
1000048,2000199,9358
1000217,1000056,2048
1000009,2000201,7561
1000160,2000202,3012
1000227,1000089,7607
1000042,1000145,6299
1000031,2000205,8015
1000162,2000206,1521
1000191,1000124,3673
1000108,2000208,102
1000054,2000209,5086
1000162,1000117,9877
1000134,2000211,3254
1000226,2000212,5514
1000110,2000213,5780
1000195,1000009,9903
1000189,2000215,4000
1000225,2000216,8140
1000002,1000184,7082
1000054,2000218,5224
1000206,2000219,4863
1000151,2000220,1722
1000062,1000096,645
1000221,2000222,6047
1000105,1000019,1541
1000027,2000224,5322
1000015,2000225,5046
1000088,1000224,7024
1000081,2000227,7552
1000067,1000239,373
1000146,2000229,5670
1000029,1000083,6972
1000185,1000146,1285
1000030,1000199,5550
1000047,2000233,7793
1000217,2000234,561
1000178,2000235,2185
1000196,2000236,5004
1000160,2000237,535
1000200,1000103,1277
1000145,1000038,3788
1000077,1000082,3584
1000091,1000198,8847
1000058,1000111,978
1000058,1000109,6801
1000089,1000250,2668
1000117,1000172,9268
1000170,2000246,6656
1000225,2000247,4053
1000238,1000223,150
1000139,2000249,1070
1000208,1000011,4153
1000099,2000251,8034
1000231,2000252,1015
1000220,2000253,685
1000222,1000068,701
1000200,1000186,489
1000140,1000044,7326
1000214,1000038,1522
1000239,2000258,2999
1000164,1000181,8863
1000234,2000260,950
1000091,2000261,7035
1000165,1000117,9517
1000076,2000263,7703
1000178,1000018,8096
1000042,1000078,4649
1000112,2000266,5936
1000246,2000267,2200
1000056,2000268,4057
1000093,2000269,2438
1000133,1000129,6036
1000051,2000271,6577
1000217,2000272,4098
1000142,2000273,4868
1000136,2000274,6703
1000087,1000098,4431
1000242,1000135,9707
1000167,1000212,7063
1000097,1000215,6880
1000075,2000279,9029
1000043,2000280,1198
1000073,1000139,4020
1000054,1000229,6711
1000149,2000283,4138
1000082,2000284,1810
1000181,2000285,3584
1000178,2000286,3556
1000194,1000107,4721
1000004,2000288,4154
1000211,2000289,6241
1000170,1000214,2390
1000179,2000291,1021
1000064,2000292,3595
1000030,1000105,9628
1000162,2000294,4557
1000163,1000014,9441
1000101,2000296,6255
1000122,2000297,6126
1000201,1000058,7473
1000165,2000299,8724
1000004,1000176,7702
1000005,2000301,8478
1000039,2000302,8104
1000125,2000303,3067
1000177,1000093,2512
1000074,1000133,7829
1000229,1000025,459
1000232,2000307,6585
1000148,2000308,6729
1000060,2000309,6257
1000031,1000073,2759
1000019,1000140,9286
1000006,2000312,3821
1000042,2000313,907
1000094,1000230,8322
1000216,1000014,9106
1000222,1000109,6612
1000219,2000317,3116
1000214,1000064,3867
1000227,1000237,4171
1000054,2000320,2850
1000200,1000180,5674
1000013,2000322,2096
1000170,2000323,159
1000067,1000088,9130
1000023,1000241,8412
1000096,2000326,6713
1000107,2000327,8114
1000239,2000328,9739
1000151,2000329,139
1000209,1000124,5483
1000058,2000331,3005
1000054,2000332,4129
1000125,2000333,2700
1000209,2000334,3908
1000236,2000335,1954
1000097,1000169,276
1000028,1000058,4808
1000111,2000338,8206
1000188,1000113,4034
1000026,1000215,1644
1000231,1000141,7050
1000052,2000342,3150
1000019,2000343,3186
1000024,1000030,762
1000089,2000345,8051
1000173,2000346,744
1000101,1000133,284
1000060,2000348,9428
1000085,1000122,6280
1000185,1000115,2796
1000119,2000351,9453
1000106,1000179,3808
1000222,1000079,7159
1000189,1000056,520
1000027,2000355,3712
1000240,2000356,3954
1000027,2000357,2163
1000228,1000101,1681
1000087,2000359,5871
1000035,2000360,5356
1000059,1000199,5466
1000221,1000135,2254
1000089,2000363,3149
1000083,2000364,9989
1000088,1000027,1360
1000232,2000366,5826
1000227,1000150,7011
1000097,1000122,4229
1000106,1000117,7732
1000129,1000102,3421
1000085,2000371,452
1000199,1000246,5887
1000214,1000177,5110
1000087,2000374,3307
1000165,1000050,5064
1000237,2000376,1888
1000053,1000212,9418
1000188,2000378,8041
1000164,2000379,8558
1000192,2000380,7060
1000236,2000381,6086
1000167,1000250,3057
1000207,1000234,2464
1000061,2000384,5518
1000041,2000385,7899
1000040,1000083,8835
1000201,2000387,9262
1000225,1000222,396
1000219,2000389,6232
1000244,1000208,2995
1000222,2000391,4375
1000141,1000239,6710
1000241,2000393,1613
1000211,1000137,663
1000157,2000395,8019
1000064,1000219,8444
1000028,1000212,1875
1000087,1000167,869
1000035,1000092,9122
1000113,2000400,4063
1000189,1000189,3846
1000177,2000402,8024
1000190,2000403,4727
1000086,2000404,6754
1000168,2000405,6830
1000219,2000406,6013
1000176,2000407,3809
1000246,2000408,5421
1000168,1000243,340
1000031,2000410,3847
1000054,1000087,9040
1000033,2000412,384
1000207,1000018,1083
1000105,2000414,5456
1000021,1000248,1704
1000133,1000170,1931
1000171,2000417,8026
1000178,2000418,8011
1000179,2000419,7143
1000100,1000050,5837
1000019,2000421,9724
1000034,2000422,3557
1000240,1000156,5456
1000099,1000177,5631
1000194,1000089,5266
1000062,1000001,8499
1000031,2000427,5439
1000206,1000054,7562
1000243,2000429,7166
1000016,1000113,5187
1000170,1000069,1828
1000110,1000008,8335
1000117,1000094,8265
1000222,2000434,1872
1000153,2000435,7566
1000136,1000016,5173
1000028,1000222,9285
1000049,1000167,4359
